,Unnamed: 0,competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,Descrição
632,2445702,202207,3,35,355030,J,6311900,-1,212420,101,9,40.0,40.0,2,1,0,1,31,0,0,0,2219.0,6,0,1,202207,0,5,2219.0,Analista de Suporte Computacional
633,2445703,202207,3,35,355030,J,6203100,1,212420,101,7,22.0,40.0,1,1,0,1,97,0,0,0,5500.0,10,0,1,202207,0,5,5500.0,Analista de Suporte Computacional
634,2445714,202207,3,35,355030,N,8220200,1,212420,101,9,33.0,36.0,6,1,0,1,97,0,0,0,3418.18,9,0,1,202207,0,5,3418.18,Analista de Suporte Computacional
635,2445715,202207,3,35,355030,Q,8630502,-1,212420,101,9,26.0,44.0,1,1,0,1,40,0,0,0,3500.0,7,0,1,202207,0,5,3500.0,Analista de Suporte Computacional
636,2445722,202207,3,35,355030,K,6462000,1,212420,101,7,22.0,44.0,1,1,0,1,97,0,0,0,2400.0,1,0,1,202207,0,5,2400.0,Analista de Suporte Computacional
637,2445725,202207,3,35,355030,J,6204000,1,212420,101,7,27.0,40.0,3,3,0,1,97,0,0,0,2500.0,10,0,1,202207,0,5,2500.0,Analista de Suporte Computacional
638,2445726,202207,3,35,355030,J,6209100,-1,212420,101,7,25.0,40.0,6,1,0,1,40,0,0,0,2994.2,4,0,1,202207,0,5,2994.2,Analista de Suporte Computacional
639,2445727,202207,3,35,355030,J,6202300,1,212420,101,9,25.0,40.0,3,1,0,1,97,0,0,0,5286.0,9,0,1,202207,0,5,5286.0,Analista de Suporte Computacional
640,2445732,202207,3,35,355030,J,6204000,-1,212420,101,80,38.0,40.0,1,1,0,1,40,0,0,0,7160.4,5,0,1,202207,0,5,7160.4,Analista de Suporte Computacional
641,2445735,202207,3,35,355030,J,6204000,-1,212420,101,7,32.0,44.0,1,1,0,1,40,0,0,0,2015.87,10,0,1,202207,0,5,2015.87,Analista de Suporte Computacional
642,2445739,202207,3,35,355030,J,6203100,-1,212420,101,9,46.0,44.0,3,1,0,1,31,0,0,9,8262.0,5,0,1,202207,0,5,8262.0,Analista de Suporte Computacional
643,2445740,202207,3,35,355030,P,8599604,1,212420,101,8,25.0,44.0,3,1,0,1,97,0,0,0,2360.0,4,0,1,202207,0,5,2360.0,Analista de Suporte Computacional
644,2445742,202207,3,35,355030,M,7020400,1,212420,101,8,25.0,44.0,6,1,0,1,97,0,0,0,5323.91,7,0,1,202207,0,5,5323.91,Analista de Suporte Computacional
645,2445743,202207,3,35,355030,J,6311900,1,212420,101,8,35.0,44.0,1,3,0,1,97,0,0,0,3286.0,9,0,1,202207,0,5,3286.0,Analista de Suporte Computacional
646,2445746,202207,3,35,355030,N,8220200,-1,212420,101,7,26.0,40.0,6,1,0,1,31,0,0,0,2354.0,10,0,1,202207,0,5,2354.0,Analista de Suporte Computacional
647,2445748,202207,3,35,355030,J,6190601,1,212420,101,7,40.0,44.0,1,1,0,1,97,0,0,0,1504.0,4,0,1,202207,0,5,1504.0,Analista de Suporte Computacional
